restaurant_name,date,meal,main_item,vegetarian_item,dessert_item,mundane_items,calories
Piracicaba,2018-07-16,LUNCH,Frango assado,Ovo frito,Mexerica,"Alface, Arroz, Arroz integral, Beterraba ralada, Feijão, Guarnição: macarrão com brócolis, Pepino em rodelas, Suco de guaraná",884
Piracicaba,2018-07-16,DINNER,Carne moída ao sugo,Ovo cozido ao sugo,Mexerica,"Alface, Arroz, Arroz integral, Cenoura, Couve, Feijão, Guarnição: purê de batatas, Suco de guaraná",714
Piracicaba,2018-07-17,DINNER,Lombo suíno fatiado,Ovo frito,Gelatina de limão,"Alface, Arroz, Arroz integral, Feijão, Guarnição: tutu de feijão, Pepino, Suco de abacaxi, Vinagrete",854
Piracicaba,2018-07-17,LUNCH,Carne louca,Ovo cozido,Gelatina de limão,"Alface, Arroz, Arroz integral, Feijão, Guarnição: abobrinha de forno, Rabanete, Suco de abacaxi, Tomate",602
Piracicaba,2018-07-18,LUNCH,Frango à milanesa,Omelete de chapa,Mamão,"Alface, Arroz, Arroz integral, Feijão, Guarnição:  chuchu ao molho branco, Quiabo, Suco de caju, Tomate",583
Piracicaba,2018-07-18,DINNER,Bife de panela,Omelete de chapa,Mamão,"Alface, Arroz, Arroz integral, Chuchu, Feijão, Guarnição: farofa de cenoura com uvas passas, Rabanete com cenoura, Suco de caju",589
Piracicaba,2018-07-19,DINNER,Peixe à milanesa,Ovo frito,Canjica,"Alface, Arroz, Arroz integral, Feijão, Guarnição: quibebe, Repolho roxo, Suco de laranja, Tabule",781
Piracicaba,2018-07-19,LUNCH,Quibe assado,Abobrinha ao sugo,Canjica,"Alface, Arroz, Arroz integral, Berinjela, Feijão, Guarnição: arroz árabe, Salada de grãos, Suco de laranja",998
Piracicaba,2018-07-20,LUNCH,Fricassê de frango,Ovo frito,Maça,"Alface, Arroz, Arroz integral, Cebolete, Feijão, Guarnição:  cenoura com vagem, Suco de manga, Tomate em cubos",673
Piracicaba,2018-07-20,DINNER,Almôndegas de carne ao sugo,Ovo cozido,Maça,"Alface, Arroz, Arroz integral, Cenoura cozida, Feijão, Guarnição:  macarrão alho e óleo, Suco de manga, Tomate",0
Piracicaba,2018-07-21,LUNCH,Feijoada,Feijoada vegetariana,Laranja,"Alface, Arroz, Arroz integral, Feijão, Guarnição: couve refogada, Pepino, Suco de limão, Vinagrete",726
Piracicaba,2018-07-23,DINNER,Filé de frango grelhado,Omelete de chapa,Suco de morango,"Alface, Arroz, Arroz integral, Beterraba ralada, Feijão, Guarnição: creme de espinafre, Laranja, Pepino com gergelim",554
Piracicaba,2018-07-23,LUNCH,Calabresa ao molho sugo,Ovo frito,Suco de morango,"Alface, Arroz, Arroz integral, Cenoura em rodelas, Feijão, Guarnição: macarrão ao alho e óleo, Laranja, Tomate",883
Piracicaba,2018-07-24,LUNCH,Frango crocante,Berinjela ao sugo,Suco de maracujá,"Alface, Arroz, Arroz integral, Beterraba ralada, Feijão, Guarnição: polenta, Maçã, Quiabo",775
Piracicaba,2018-07-24,DINNER,Carne louca,Almôndegas de soja,Suco de maracujá,"Alface, Arroz, Arroz integral, Feijão, Guarnição: batata bolinha assada, Maionese de cenoura, Maçã, Tomate",636
Piracicaba,2018-07-25,DINNER,Steak à pizzaiolo,Ovo frito,Suco de laranja,"Alface, Arroz, Arroz integral, Feijão, Gelatina, Guarnição: jardineira de legumes, Salada de grãos, Tomate",891
Piracicaba,2018-07-25,LUNCH,Isca de carne à moda chinesa,Omelete de chapa,Suco de laranja,"Alface, Arroz, Arroz integral, Feijão, Gelatina, Guarnição: repolho refogado, Pepino, Vinagrete",671
Piracicaba,2018-07-26,LUNCH,Peixe à milanesa,Ovo cozido,Suco de caju,"Alface, Arroz, Arroz integral, Banana, Feijão, Guarnição: purê de batatas, Salada oriental, Tomate",673
Piracicaba,2018-07-26,DINNER,Strogonoff de carne,Escondidinho de espinafre,Suco de caju,"Alface, Arroz, Arroz integral, Banana, Beterraba cozida, Feijão, Guarnição: batata palha, Repolho",798
Piracicaba,2018-07-27,DINNER,Bife de panela,Omelete assado,Suco de abacaxi,"Acelga, Alface, Arroz, Arroz integral, Doce de leite caseiro, Feijão, Guarnição: chuchu refogado, Tomate com pepino",517
