Abacaxi|fruta||Amarelo/Laranja||||
Abacaxi com calda|doce||Amarelo/Laranja||||
Abacaxi em calda|doce||Amarelo/Laranja||||
Arroz de doce|doce||Branco/Cinza|Pastoso|||
Arroz doce|doce||Branco/Cinza|Pastoso|||
Arroz doce (contém lactose)|doce||Branco/Cinza|Pastoso|||
Arroz doce (lactose)|doce||Branco/Cinza|Pastoso|||
Arroz doce com canela|doce||Branco/Cinza|Pastoso|||
Arroz doce com coco|doce||Branco/Cinza|Pastoso|||
Banana|fruta||Amarelo/Laranja||||
Banana caramelada|doce||Marrom/Bege||||
Banana caramelizada|doce||Marrom/Bege||||
Banana em calda|doce||Marrom/Bege||||
Bananada|doce||Marrom/Bege|Pastoso|||
Bananinha|doce|ultraprocessado|Roxo/preto|Pastoso|||
Barra cereal|doce|ultraprocessado|Marrom/Bege||||
Barra de cereais|doce|ultraprocessado|Marrom/Bege||||
Barra de cereais de banana|doce|ultraprocessado|Marrom/Bege||||
Barra de cereais de castanha c/ chocolate|doce|ultraprocessado|Marrom/Bege||Sulfuroso||
Barra de cereais de chocolate|doce|ultraprocessado|Marrom/Bege||||
Barra de cereais de chocolate avelã|doce|ultraprocessado|Marrom/Bege||||
Barra de cereais de chocolate e avelã|doce|ultraprocessado|Marrom/Bege||||
Barra de cereal|doce|ultraprocessado|Marrom/Bege||||
Barrinha de biscoito recheada|doce|ultraprocessado|Marrom/Bege||||
Barrinha de biscoito recheado|doce|ultraprocessado|Marrom/Bege||||
Barrinha recheada|doce|ultraprocessado|Marrom/Bege||||
Beijinho|doce||Branco/Cinza||||
Bicho de pé|doce|ultraprocessado|Vermelho|Pastoso|Sulfuroso||
Biscoito maxi|doce|ultraprocessado|Marrom/Bege||||
Biscoito recheado|doce|ultraprocessado|Marrom/Bege||||
Bolinho|doce|ultraprocessado|Marrom/Bege||||
Bolinho individual|doce|ultraprocessado|Marrom/Bege||||
Bolinho roll ao leite|doce|ultraprocessado|Marrom/Bege||||
Bolo|doce||Marrom/Bege||||
Bolo com calda de chocolate|doce||Marrom/Bege||||
Bolo com calda de limão|doce||Marrom/Bege||||
Bolo de cenoura|doce||Amarelo/Laranja||||
Bolo de chocolate c/ calda e granulado|doce||Marrom/Bege||||
Bolo de chocolate com calda|doce||Marrom/Bege||||
Bolo do chocolate com granulado|doce||Marrom/Bege||||
Bolo formigueiro|doce||Marrom/Bege||||
Bolo formigueiro com calda de chocolate|doce||Marrom/Bege||||
Bombom|doce|ultraprocessado|Marrom/Bege||||
Brigadeirão|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Brigadeiro|doce|ultraprocessado|Marrom/Bege||||
Brigadeiro de colher|doce|ultraprocessado|Marrom/Bege||||
Canjica|doce||Branco/Cinza||Sulfuroso||Regional
Caqui|fruta||Vermelho||||Regional
Carolina de doce de leite|doce|ultraprocessado|Marrom/Bege||||
Carolina doce de leite|doce|ultraprocessado|Marrom/Bege||||
Chocolate|doce||Marrom/Bege||||
Chocolate ao leite|doce||Marrom/Bege||||
Cocada|doce||Branco/Cinza||||
Cocada cremosa|doce||Branco/Cinza|Pastoso|||
Cocada de maracujá|doce||Amarelo/Laranja|||Sociobiodiversidade|
Compota de abacaxi|doce||Amarelo/Laranja||||
Compota de maçã|doce||Marrom/Bege||Sulfuroso||
Creme chinês|doce|ultraprocessado|Misto|Pastoso|||
Creme de brigadeiro|doce||Misto|Pastoso|||
Curau|doce||Amarelo/Laranja|Pastoso|Sulfuroso||Regional
Curau (contém lactose|doce||Amarelo/Laranja|Pastoso|Sulfuroso||Regional
Curau (contém lactose)|doce||Amarelo/Laranja|Pastoso|Sulfuroso||Regional
Curau de milho|doce||Amarelo/Laranja|Pastoso|Sulfuroso||Regional
Delicaxi|doce||Amarelo/Laranja|Pastoso|||
Delicia de abacaxi|doce||Amarelo/Laranja|Pastoso|||
Delícia de abacaxi|doce||Amarelo/Laranja|Pastoso|||
Delícia de banana|doce||Marrom/Bege|Pastoso|||
Delícia de morango|doce||Misto|Pastoso|||
Delipêssego|doce||Misto|Pastoso|||
Doce de abobora|doce||Amarelo/Laranja|Pastoso|||
Doce de abóbora|doce||Amarelo/Laranja|Pastoso|||
Doce de abóbora com coco|doce||Amarelo/Laranja|Pastoso|||
Doce de abobora industri|doce||Amarelo/Laranja|Pastoso|||
Doce de abobora industrializado|doce||Amarelo/Laranja|Pastoso|||
Doce de banana|doce||Marrom/Bege|Pastoso|||
Doce de banana (tablete)|doce||Marrom/Bege|Pastoso|||
Doce de goiaba|doce||Vermelho|Pastoso||Sociobiodiversidade|Regional
Doce de leite|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Doce de leite barra|doce|ultraprocessado|Marrom/Bege||||
Doce de leite caseiro|doce||Marrom/Bege|Pastoso|||
Doce de leite com ameixa|doce||Marrom/Bege|Pastoso|||
Doce de leite com amendoim|doce||Marrom/Bege|Pastoso|Sulfuroso|Sociobiodiversidade|
Doce de leite com chocolate|doce||Marrom/Bege|Pastoso|||
Doce de leite em barra|doce|ultraprocessado|Marrom/Bege||||
Doce de mamão|doce||Amarelo/Laranja||||
Espumone|doce||Misto|Pastoso|||
Espumone de morango|doce||Misto|Pastoso|||
Espumone de uva|doce||Misto|Pastoso|||
Espumoni|doce||Misto|Pastoso|||
Estrogonofe de banana|doce||Amarelo/Laranja||||
Flan|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Flan com calda|doce|ultraprocessado|Marrom/Bege|Pastoso|||
