Abóbora à italiana|legume|cozido/assado|Amarelo/Laranja||||
Abóbora ao alho|legume|cozido/assado|Amarelo/Laranja||||
Abóbora ao alho e óleo|legume|cozido/assado|Amarelo/Laranja||||
Abóbora ao forno|legume|cozido/assado|Amarelo/Laranja||||
Abóbora assada com alecrim|legume|cozido/assado|Amarelo/Laranja||||
Abóbora com alecrim|legume|cozido/assado|Amarelo/Laranja||||
Abóbora com coentro|legume|cozido/assado|Amarelo/Laranja||||
Abóbora com ervas|legume|cozido/assado|Amarelo/Laranja||||
Abóbora com gengibre|legume|cozido/assado|Amarelo/Laranja||||
Abóbora com salsa|legume|cozido/assado|Amarelo/Laranja||||
Abóbora cozida|legume|cozido/assado|Amarelo/Laranja||||
Abóbora de forno|legume|cozido/assado|Amarelo/Laranja||||
Abóbora em cubos|legume|cozido/assado|Amarelo/Laranja||||
Abóbora gratinada|legume|cozido/assado|Amarelo/Laranja||||
Abóbora mandioca com salsa|legume|cozido/assado|Amarelo/Laranja|||Sociobiodiversidade|Regional
Abóbora na salsa|legume|cozido/assado|Amarelo/Laranja||||
Abóbora no vapor|legume|cozido/assado|Amarelo/Laranja||||
Abobora refogada|legume|refogado|Amarelo/Laranja||||
Abóbora refogada|legume|refogado|Amarelo/Laranja||||
Abóbora sauté|legume|refogado|Amarelo/Laranja||||
Abobrinha|legume|refogado|Verde||||Regional
Abobrinha à caponata|legume|refogado|Verde||||Regional
Abobrinha a escabeche|legume|refogado|Verde||||Regional
Abobrinha à escabeche|legume|refogado|Verde||||Regional
Abobrinha á espanhola|legume|refogado|Misto||Sulfuroso||Regional
Abobrinha à italiana|legume|refogado|Verde||||Regional
Abobrinha à juliana|legume|refogado|Verde||||Regional
Abobrinha à napolitana|legume|refogado|Verde||||Regional
Abobrinha à pizzaiolo|legume|refogado|Misto||||Regional
Abobrinha à pízzaiolo|legume|refogado|Misto||||Regional
Abobrinha à primavera|legume|refogado|Misto||||Regional
Abobrinha a salsa|legume|refogado|Verde||||Regional
Abobrinha à salsa|legume|refogado|Verde||||Regional
Abóbrinha ao alho|legume|refogado|Verde||||Regional
Abobrinha ao alho e óleo|legume|refogado|Verde||||Regional
Abobrinha ao forno|legume|cozido/assado|Verde||||Regional
Abobrinha ao forno com orégano|legume|cozido/assado|Verde||||Regional
Abobrinha ao m. shoyu / Berinjela ao m. tomate com manjericão|legume|refogado|Misto||||Regional
Abobrinha ao molho de dois queijos|legume|cozido/assado|Misto||||Regional
Abobrinha ao molho de queijo|legume|cozido/assado|Misto||||Regional
Abobrinha ao vinagrete|legume|refogado|Misto||Sulfuroso||Regional
Abobrinha aromática|legume|refogado|Verde||||Regional
Abobrinha |legume|refogado|Verde||||Regional
Abobrinha com azeitonas|legume|refogado|Verde||||Regional
Abobrinha com ervas finas|legume|refogado|Verde||||Regional
Abobrinha com manjericão|legume|refogado|Verde||||Regional
Abobrinha com orégano|legume|refogado|Verde||||Regional
Abobrinha com salsa|legume|refogado|Verde||||Regional
Abobrinha com tomate|legume|refogado|Misto||||Regional
Abobrinha com tomate e cebola em pétalas|legume|refogado|Misto||Sulfuroso||Regional
Abobrinha com tomate-cereja|legume|refogado|Misto||||Regional
Abobrinha italiana|legume|refogado|Verde||||Regional
Abobrinha laminada com orégano|legume|refogado|Verde||||Regional
Abobrinha na manteiga|legume|refogado|Verde||||Regional
Abobrinha napolitana|legume|cozido/assado|Misto||||Regional
Abobrinha ralada refogada|legume|refogado|Verde||||Regional
Abobrinha refogada|legume|refogado|Verde||||Regional
Abobrinha sauté|legume|refogado|Verde||||Regional
Abobrinha temperada|legume|refogado|Verde||||Regional
Acelga à chinesa|folhosos|refogado|Verde||Sulfuroso||
Acelga à provençal|folhosos|refogado|Verde||Sulfuroso||
Acelga áà provençal|folhosos|refogado|Verde||Sulfuroso||
Acelga ao alho|folhosos|refogado|Verde||Sulfuroso||
Acelga ao alho e óleo|folhosos|refogado|Verde||Sulfuroso||
Acelga com cenoura refogada|folhosos|refogado|Misto||Sulfuroso||
Acelga com molho shoyo|folhosos|refogado|Verde||Sulfuroso||
Acelga com molho shoyu|folhosos|refogado|Verde||Sulfuroso||
Acelga com salsão|folhosos|refogado|Verde||Sulfuroso||
Acelga com shoyo|folhosos|refogado|Verde||Sulfuroso||
Acelga com shoyu|folhosos|refogado|Verde||Sulfuroso||
Acelga e cenoura refogadas|folhosos|refogado|Misto||Sulfuroso||
Acelga no vapor|folhosos|cozido/assado|Verde||Sulfuroso||
Acelga refogada|folhosos|refogado|Verde||Sulfuroso||
Almeirão á provençal|folhosos|refogado|Verde||||
Antepasto de berinjela|legume|refogado|Roxo/preto||||Regional
Arroz à grega|cereal (arroz)|cozido/assado|Misto||||
Arroz à piamontese|cereal (arroz)|cozido/assado|Branco/Cinza|Pastoso|||
Arroz à primavera|cereal (arroz)|cozido/assado|Misto||||
Arroz caipira|cereal (arroz)|cozido/assado|Misto||||
Arroz chop suey|cereal (arroz)|cozido/assado|Misto||||
Arroz colorido|cereal (arroz)|cozido/assado|Misto||||
Arroz com alho poro e açafrão|cereal (arroz)|cozido/assado|Misto||||
Arroz com lentilha|cereal (arroz)|cozido/assado|Misto||Sulfuroso||
Arroz com lentilha e açafrão|cereal (arroz)|cozido/assado|Misto||Sulfuroso||
Arroz com salsa|cereal (arroz)|cozido/assado|Branco/Cinza||||
Arroz piamontês|cereal (arroz)|cozido/assado|Branco/Cinza||||
Arroz temperado|cereal (arroz)|cozido/assado|Branco/Cinza||||
Banana à milanesa|fruta|frito|Amarelo/Laranja||||
Batata|tubérculo|cozido/assado|Amarelo/Laranja||||
Batata ao forno|tubérculo|cozido/assado|Amarelo/Laranja||||
Batata assada|tubérculo|cozido/assado|Amarelo/Laranja||||
Batata bolinha|tubérculo|cozido/assado|Amarelo/Laranja||||
Batata bolinha corada|tubérculo|cozido/assado|Amarelo/Laranja||||
Batata chips|tubérculo|frito|Amarelo/Laranja||||
Batata com alecrim|tubérculo|cozido/assado|Amarelo/Laranja||||
Batata com ervas|tubérculo|cozido/assado|Amarelo/Laranja||||
Batata com orégano|tubérculo|cozido/assado|Amarelo/Laranja||||
Batata com salsa|tubérculo|cozido/assado|Amarelo/Laranja||||
Batata corada|tubérculo|cozido/assado|Amarelo/Laranja||||
Batata doce|tubérculo|cozido/assado|Amarelo/Laranja||Sulfuroso||
Batata doce ao forno|tubérculo|cozido/assado|Amarelo/Laranja||Sulfuroso||
Batata doce caramelada|tubérculo|cozido/assado|Amarelo/Laranja||Sulfuroso||
Batata doce chips|tubérculo|frito|Amarelo/Laranja||Sulfuroso||
Batata doce com alecrim|tubérculo|cozido/assado|Amarelo/Laranja||Sulfuroso||
Batata doce corada|tubérculo|cozido/assado|Amarelo/Laranja||Sulfuroso||
Batata doce na manteiga|tubérculo|cozido/assado|Amarelo/Laranja||Sulfuroso||
Batata doce sauté|tubérculo|cozido/assado|Amarelo/Laranja||Sulfuroso||
Batata dorê|tubérculo|cozido/assado|Amarelo/Laranja||||
Batata frita|tubérculo|frito|Amarelo/Laranja||||
Batata napolitana|tubérculo|cozido/assado|Amarelo/Laranja||||
Batata palha|tubérculo|frito|Amarelo/Laranja||||
Batata portuguesa|tubérculo|cozido/assado|Amarelo/Laranja||Sulfuroso||
