Bolinho de arroz|cereal (milho)|frito|Marrom/Bege||
Bolinho de arroz com espinafre|cereal (milho)|frito|Misto||Regional
Almôndega de aveia|cereal (milho)|ao molho leve|Marrom/Bege||
Almondegas de aveia|cereal (milho)|ao molho leve|Marrom/Bege||
Almôndegas de aveia|cereal (milho)|ao molho leve|Marrom/Bege||
Batalhoada|tubérculo|assado|Misto||
Batata palha|tubérculo|frito|Amarelo/Laranja||
Batata recheada com ricota|tubérculo|cozido|Amarelo/Laranja||
Batata rosty|tubérculo|grelhado/refogado|Amarelo/Laranja||
Batata rosty com recheio de espinafre e queijo|tubérculo|grelhado/refogado|Misto||Regional
Batata rosty com recheio de queijo e orégano|tubérculo|grelhado/refogado|Amarelo/Laranja||
Batata rosty recheada com espinafre e queijo|tubérculo|grelhado/refogado|Misto||Regional
Batatalhoada|tubérculo|assado|Misto||
Creme de batata doce|tubérculo|cozido|Amarelo/Laranja|Sulfuroso|
Tortilha de espinafre|tubérculo|grelhado/refogado|Misto|Sulfuroso|Regional
Tortilha de espinafre (contém glúten e lactose)|tubérculo|grelhado/refogado|Misto|Sulfuroso|Regional
Tortilha de espinafre (contém lactose e glúten)|tubérculo|grelhado/refogado|Misto|Sulfuroso|Regional
Tortilha de pizza (contém glúten e lactose)|tubérculo|grelhado/refogado|Misto|Sulfuroso|
Tortilha de pizza (glúten|tubérculo|grelhado/refogado|Misto|Sulfuroso|
Tortilha de pizza (lactose e glúten)|tubérculo|grelhado/refogado|Misto|Sulfuroso|
Creme de cebola|legumes|cozido|Marrom/Bege|Sulfuroso|
Charuto de repolho|folhosos|cozido|Misto|Sulfuroso|Regional
Chucrute|folhosos|cozido|Branco/Cinza|Sulfuroso|Regional
Couve-flor com tomate e orégano|legumes|grelhado/refogado|Misto|Sulfuroso|
Escondidinho de brócolis|legumes|assado|Misto|Sulfuroso|
Escondidinho de brócolis (contém lactose)|legumes|assado|Misto|Sulfuroso|
Escondidinho de brócolis (lactose)|legumes|assado|Misto|Sulfuroso|
Escondinho de brócolis (contém lactose)|legumes|assado|Misto|Sulfuroso|
Fricassê de repolho|folhosos|ao molho gorduroso|Misto|Sulfuroso|Regional
Fricassê de repolho (contém lactose)|folhosos|ao molho gorduroso|Misto|Sulfuroso|Regional
Fricassê de repolho (lactose)|folhosos|ao molho gorduroso|Misto|Sulfuroso|Regional
Gratinado de brócolis c/ couve|legumes|assado|Misto|Sulfuroso|Regional
Lasanha de repolho|legumes|assado|Misto|Sulfuroso|Regional
Lasanha de repolho (contém lactose)|legumes|assado|Misto|Sulfuroso|Regional
Repolho de forno|folhosos|assado|Amarelo/Laranja|Sulfuroso|Regional
Repolho gratinado|folhosos|assado|Amarelo/Laranja|Sulfuroso|Regional
Torta de brócolis com queijo|legumes|assado|Misto|Sulfuroso|
Tortilha de brócolis (contem glúten e lactose)|legumes|grelhado/refogado|Misto|Sulfuroso|
Tortilha de brócolis (contém glúten e lactose)|legumes|grelhado/refogado|Misto|Sulfuroso|
Tortilha de brócolis (contém lactose)|legumes|grelhado/refogado|Misto|Sulfuroso|
Tortilha de brócolis (glúten e lactose)|legumes|grelhado/refogado|Misto|Sulfuroso|
Creme de ervilhas|leguminosa|cozido|Verde|Sulfuroso|
Curry de ervilhas|leguminosa|cozido|Amarelo/Laranja|Sulfuroso|
Ervilha à caipira|leguminosa|cozido|Misto|Sulfuroso|
Ervilha ao vinagrete|leguminosa|cozido|Misto|Sulfuroso|
Ervilha seca acebolada|leguminosa|cozido|Verde|Sulfuroso|
Ervilha seca acebolado|leguminosa|cozido|Verde|Sulfuroso|
Ervilha seca ao molho de queijos|leguminosa|ao molho gorduroso|Misto|Sulfuroso|
Ervilha seca sortida|leguminosa|cozido|Misto|Sulfuroso|
Escondidinho de ervilha|leguminosa|assado|Misto|Sulfuroso|
Abobrinha com pvt|PTS|grelhado/refogado|Misto||Regional
Abobrinha recheada com pts|PTS|cozido|Misto||Regional
Abobrinha recheada com pvt|PTS|cozido|Misto||Regional
Abobrinha recheada com pvt e ricota|PTS|cozido|Misto||Regional
Almomdega de pts ao pomodoro|PTS|ao molho leve|Misto||
Almôndega de feijão preto|leguminosa|ao molho leve|Roxo/preto||
Almôndega de pts|PTS|ao molho leve|Marrom/Bege||
Almôndega de pvt|PTS|ao molho leve|Marrom/Bege||
Almôndega de pvt ao molho chinês|PTS|ao molho leve|Misto||
Almôndega de pvt ao sugo|PTS|ao molho leve|Misto||
Almôndega de pvt ao vinagrete|PTS|ao molho leve|Misto|Sulfuroso|
Almôndega de pvt com aveia|PTS|ao molho leve|Marrom/Bege||
Almôndega de pvt com molho pomodoro|PTS|ao molho leve|Misto||
Almondegas de pts|PTS|ao molho leve|Marrom/Bege||
Almôndegas de pts|PTS|ao molho leve|Marrom/Bege||
Almondegas de pts ao m. sugo|PTS|ao molho leve|Misto||
Almondegas de pts ao molho|PTS|ao molho leve|Misto||
Almôndegas de pts ao sugo (contém glúten)|PTS|ao molho leve|Misto||
Almôndegas de pvt|PTS|ao molho leve|Marrom/Bege||
Almôndegas de pvt acebolada|PTS|ao molho leve|Marrom/Bege|Sulfuroso|
Almondegas de pvt aceboladas|PTS|ao molho leve|Marrom/Bege|Sulfuroso|
Almôndegas de pvt ao sugo|PTS|ao molho leve|Misto||
Almôndegas de pvt com molho argentino|PTS|ao molho leve|Misto||
Almôndegas de pvt com molho de tomate e cebola|PTS|ao molho leve|Misto|Sulfuroso|
Almôndegas de pvt com molho de tomates|PTS|ao molho leve|Misto||
Almôndegas de pvt com molho picante|PTS|ao molho leve|Misto||
Almôndegas de pvt com molho pomodoro|PTS|ao molho leve|Misto||
Almondegas de pvt com molho roti|PTS|ao molho leve|Marrom/Bege||
Almôndegas de pvt com molho roti|PTS|ao molho leve|Marrom/Bege||
Almôndegas de soja|soja|ao molho leve|Marrom/Bege||
Almôndegas pts ao sugo (glúten)|PTS|ao molho leve|Misto||
Assado de pvt|PTS|assado|Marrom/Bege||
Assado de pvt (proteína texturizada de soja)|PTS|assado|Marrom/Bege||
Assado de pvt (proteína texturizada de soja) com abobrinha|PTS|assado|Marrom/Bege||Regional
Assado de pvt c/ cenoura e queijo|PTS|assado|Misto||
Assado de pvt com abobrinha cenoura à salsa|PTS|assado|Misto||Regional
Assado vienense|PTS|assado|Marrom/Bege||
Assado vienense de pvt|PTS|assado|Marrom/Bege||
Berinjela recheada com pvt|PTS|cozido|Misto||Regional
Berinjela recheado com pvt|PTS|cozido|Misto||Regional
