Abacaxi,fruta
Abacaxi com calda,doce
Abacaxi em calda,doce
Arroz de doce,doce
Arroz doce,doce
Arroz doce (contém lactose),doce
Arroz doce (lactose),doce
Arroz doce com canela,doce
Arroz doce com coco,doce
Banana,fruta
Banana caramelada,doce
Banana caramelizada,doce
Banana em calda,doce
Bananada,doce
Bananinha,doce
Barra cereal,doce
Barra de cereais,doce
Barra de cereais de banana,doce
Barra de cereais de castanha c/ chocolate,doce
Barra de cereais de chocolate,doce
Barra de cereais de chocolate avelã,doce
Barra de cereais de chocolate e avelã,doce
Barra de cereal,doce
Barrinha de biscoito recheada,doce
Barrinha de biscoito recheado,doce
Barrinha recheada,doce
Beijinho,doce
Bicho de pé,doce
Biscoito maxi,doce
Biscoito recheado,doce
Bolinho,doce
Bolinho individual,doce
Bolinho roll ao leite,doce
Bolo,doce
Bolo com calda de chocolate,doce
Bolo com calda de limão,doce
Bolo de cenoura,doce
Bolo de chocolate c/ calda e granulado,doce
Bolo de chocolate com calda,doce
Bolo do chocolate com granulado,doce
Bolo formigueiro,doce
Bolo formigueiro com calda de chocolate,doce
Bombom,doce
Brigadeirão,doce
Brigadeiro,doce
Brigadeiro de colher,doce
Canjica,doce
Caqui,fruta
Carolina de doce de leite,doce
Carolina doce de leite,doce
Chocolate,doce
Chocolate ao leite,doce
Cocada,doce
Cocada cremosa,doce
Cocada de maracujá,doce
Compota de abacaxi,doce
Compota de maçã,doce
Creme chinês,doce
Creme de brigadeiro,doce
Curau,doce
Curau (contém lactose,doce
Curau (contém lactose),doce
Curau de milho,doce
Delicaxi,doce
Delicia de abacaxi,doce
Delícia de abacaxi,doce
Delícia de banana,doce
Delícia de morango,doce
Delipêssego,doce
Doce de abobora,doce
Doce de abóbora,doce
Doce de abóbora com coco,doce
Doce de abobora industri,doce
Doce de abobora industrializado,doce
Doce de banana,doce
Doce de banana (tablete),doce
Doce de goiaba,doce
Doce de leite,doce
Doce de leite barra,doce
Doce de leite caseiro,doce
Doce de leite com ameixa,doce
Doce de leite com amendoim,doce
Doce de leite com chocolate,doce
Doce de leite em barra,doce
Doce de mamão,doce
Espumone,doce
Espumone de morango,doce
Espumone de uva,doce
Espumoni,doce
Estrogonofe de banana,doce
Flan,doce
Flan com calda,doce
Flan com calda de caramelo,doce
